0,11250,10100,11250,8000,7750,9250,12250,9250,10650,9750,9250,11750,9250,7500,9750,8000,7500,7650,10250,8900,8900,8250,10750,8250,10750
11250,0,9850,9500,6750,6500,8000,10500,7500,8900,8500,7500,10000,6500,6250,8500,6750,6250,6400,9000,750,7650,6500,9500,7000,9500
10100,9850,0,9850,7100,6850,8350,10850,7850,9250,8350,7850,10350,7350,6600,8850,7100,6600,6750,9350,8000,8000,7350,9850,7350,9850
11250,9500,9850,0,6750,6500,8000,10500,7500,8900,8000,7500,10000,7000,6250,8500,6750,6250,6400,9000,7650,7650,7000,9500,7000,9500
8000,6750,7100,6750,0,3750,5250,7750,4750,6150,5250,4750,7250,4250,3500,5750,4000,3500,3650,6250,4900,4900,4250,6750,4250,6750
7750,6500,6850,6500,3750,0,4500,7000,4000,5400,5000,4000,7000,4000,3250,5000,3250,2750,2900,5500,4150,4150,4000,6000,4000,6000
9250,8000,8350,8000,5250,4500,0,9000,6000,7400,6500,6000,8500,5500,4750,7000,5250,4750,4900,7500,6150,6150,5500,8000,5500,8000
12250,10500,10850,10500,7750,7000,9000,0,8500,9900,9000,8500,11000,8000,7250,9500,7750,7250,7400,10000,8650,8650,8000,10500,8000,10500
9250,7500,7850,7500,4750,4000,6000,8500,0,6400,6000,5000,8000,5000,3750,6500,4250,3750,3900,6500,5150,5150,5000,7500,5000,7500
10650,8900,9250,8900,6150,5400,7400,9900,6400,0,7400,6900,9400,6400,5650,7900,6150,5650,5800,8400,7050,7050,6400,8900,6400,8900
9750,8500,8350,8000,5250,5000,6500,9000,6000,7400,0,6000,8500,5500,4750,7000,5250,4750,4900,7500,6150,6150,5500,8000,5500,8000
9250,7500,7850,7500,4750,4000,6000,8500,5000,6900,6000,0,8000,5000,4250,6500,4750,4250,4400,7000,5650,5650,5000,7500,5000,7500
11750,10000,10350,10000,7250,7000,8500,11000,8000,9400,8500,8000,0,7500,6750,9000,7250,6750,6900,9500,8150,8150,7500,10000,7500,10000
9250,6500,7350,7000,4250,4000,5500,8000,5000,6400,5500,5000,7500,0,3750,6000,4250,3750,3900,6500,5150,5150,4500,6500,4000,7000
7500,6250,6600,6250,3500,3250,4750,7250,3750,5650,4750,4250,6750,3750,0,5250,3000,2500,2650,5250,3900,3900,3750,6250,3750,5750
9750,8500,8850,8500,5750,5000,7000,9500,6500,7900,7000,6500,9000,6000,5250,0,5250,4750,4900,7500,6150,6150,6000,8500,6000,8000
8000,6750,7100,6750,4000,3250,5250,7750,4250,6150,5250,4750,7250,4250,3000,5250,0,3000,3150,5750,4400,4400,4250,6750,4250,6250
7500,6250,6600,6250,3500,2750,4750,7250,3750,5650,4750,4250,6750,3750,2500,4750,3000,0,2650,5250,3900,3900,3750,6250,3750,5750
7650,6400,6750,6400,3650,2900,4900,7400,3900,5800,4900,4400,6900,3900,2650,4900,3150,2650,0,5400,4050,4050,3900,6400,3900,5900
10250,9000,9350,9000,6250,5500,7500,10000,6500,8400,7500,7000,9500,6500,5250,7500,5750,5250,5400,0,6650,6650,6500,9000,6500,8500
8900,7650,8000,7650,4900,4150,6150,8650,5150,7050,6150,5650,8150,5150,3900,6150,4400,3900,4050,6650,0,5300,5150,7650,5150,7150
8900,7650,8000,7650,4900,4150,6150,8650,5150,7050,6150,5650,8150,5150,3900,6150,4400,3900,4050,6650,5300,0,5150,7650,5150,7150
8250,6500,7350,7000,4250,4000,5500,8000,5000,6400,5500,5000,7500,4500,3750,6000,4250,3750,3900,6500,5150,5150,0,7000,4000,7000
10750,9500,9850,9500,6750,6000,8000,10500,7500,8900,8000,7500,10000,6500,6250,8500,6750,6250,5900,9000,7650,7650,7000,0,7000,9500
8250,7000,7350,7000,4250,4000,5500,8000,5000,6400,5500,5000,7500,4000,3750,6000,4250,3750,3900,6500,5150,5150,4000,7000,0,6500
10750,9500,9850,9500,6750,6000,8000,10500,7500,8900,8000,7500,10000,7000,5750,8000,6250,5750,5900,8500,7150,7150,7000,9500,6500,0
